魚の名前,英名,保存した画像ファイル名,分類,解説,image2,image3
トゲカナガシラ,Longwing searobin,togekanagashira1.jpg,ホウボウ科,"全長：25cm
生息：砂泥底に生息する。指のように見える3本の胸鰭軟条を動かして餌を探す。
分布：千葉県以南、南シナ海からインドネシアまでの西太平洋
レア度：★★☆☆☆
人気：★★☆☆☆
撮り易さ：★★☆☆☆
胸鰭の内側が鮮やかな青、緑色であり、水中でも良く目立つ。",欠損,欠損
イズオコゼ,-,izuokoze1.jpg,イボオコゼ科,"全長：5cm
生息：岩礁域、ガレ場に生息する。周囲に擬態し、見つけるのが難しい。
分布：房総半島、伊豆半島、伊豆大島、柏島などに分布する。
レア度：★★★★★
人気：★★★★☆

撮り易さ：★★★☆☆
2010年に新種記載された。",欠損,欠損
ボガ,Boga,boga1.jpg,イサキ科,"全長：20cm
生息：サンゴ礁域の外縁を群れで遊泳する。
分布：カリブ海、西部大西洋
レア度：★★★★☆

人気：★★☆☆☆
撮り易さ：★★☆☆☆",欠損,欠損
イサキ,Chicken grunt,isaki6.jpg,イサキ科,"全長：45cm
生息：沿岸の岩礁域、内湾などに生息する。
分布：関東地方、新潟県以南、東シナ海、南シナ海などに分布する。
レア度：★☆☆☆☆
人気：★★☆☆☆
撮り易さ：★★★☆☆",isaki2.jpg,isaki4.jpg
ヒゲダイ,Long barbeled grunter,higedai1.jpg,イサキ科,"全長：45cm
生息：浅い岩礁域、砂底域に生息する。
分布：伊豆半島以南、東シナ海に分布する。
レア度：★★★☆☆
人気：★★★☆☆
撮り易さ：★★★☆☆",higedai2.jpg,欠損
コロダイ,Silver sweetlips,korodai5.jpg,イサキ科,"全長：70cm
生息：浅い岩礁域、サンゴ礁域に生息する。
分布：伊豆半島以南、インド洋から西太平洋に分布する。
レア度：★☆☆☆☆
人気：★★★☆☆
撮り易さ：★★★☆☆",korodai8.jpg,korodai7.jpg
トムテート,Tomtate,tomtate1.jpg,イサキ科,"全長：25cm
生息：サンゴ礁域に群れを形成する。他のイサキ種と混じった群れを形成することも多い。
分布：カリブ海、西部大西洋
レア度：★★★☆☆
人気：★★☆☆☆
撮り易さ：★★★☆☆",tomtate2.jpg,欠損
ポークフィッシュ,Porkfish,porkfish2.jpg,イサキ科,"全長：30cm
生息：サンゴ礁域に生息する。群れを形成することもある。
分布：カリブ海、西部大西洋
レア度：★★★☆☆
人気：★★★☆☆
撮り易さ：★★★☆☆
クロオビダイという和名もあるが、より一般的なポークフィッシュとして掲載。",porkfish1.jpg,欠損
ホワイトグラント,White Grunt,whitegrunt1.jpg,イサキ科,"全長：45cm
生息：サンゴ礁域や砂地に生息する。
分布：カリブ海、西部大西洋
レア度：★★★☆☆
人気：★★☆☆☆
撮り易さ：★★★☆☆",whitegrunt2.jpg,whitegrunt3.jpg
コルテスグラント,Cortez grunt,cortezgrunt1.jpg,イサキ科,"全長：35cm
生息：沿岸の岩礁域や斜面に生息する。大きな群れを形成することもある。
分布：東部太平洋
レア度：★★★☆☆
人気：★★★☆☆
撮り易さ：★★★☆☆",欠損,欠損
シーザーグラント,Ceasar Grunt,ceasargrunt2.jpg,イサキ科,"全長：35cm
生息：サンゴ礁域に群れを形成する。
分布：カリブ海、西部大西洋
レア度：★★★☆☆
人気：★★☆☆☆
撮り易さ：★★★☆☆",ceasargrunt1.jpg,欠損
フレンチグラント,French Grunt,frenchgrunt1.jpg,イサキ科,"全長：30cm
生息：サンゴ礁域に群れを形成する。
分布：カリブ海、西部大西洋
レア度：★★★☆☆
人気：★★★☆☆
撮り易さ：★★★★☆
",frenchgrunt3.jpg,frenchgrunt2.jpg
セーラーズグラント,Sailors Grunt,sailorsgrunt3.jpg,イサキ科,"全長：40cm
生息：サンゴ礁の外縁域に生息する。
分布：カリブ海、西部大西洋
レア度：★★★☆☆
人気：★★☆☆☆
撮り易さ：★★★☆☆",sailorsgrunt2.jpg,sailorsgrunt1.jpg
アヤコショウダイ,Diagpnal-banded sweetlips,ayakosyoudai1.jpg,イサキ科,"全長：50cm
生息：サンゴ礁の岩礁域の斜面に見られる。
分布：琉球列島、東南アジア
レア度：★★★★☆

人気：★★★☆☆
撮り易さ：★★★☆☆",欠損,欠損
ブラックマーゲイト,Black Margate,blackmargate1.jpg,イサキ科,"全長：60cm
生息：岩礁域、サンゴ礁域に生息する。
分布：カリブ海、西部大西洋
レア度：★★★☆☆
人気：★★☆☆☆
撮り易さ：★★★★☆
",blackmargate2.jpg,欠損
ブリットグラント,Burrito Grunt,burritogrunt1.jpg,イサキ科,"全長：25cm
生息：潮通しの良い岩礁域
分布：東部太平洋
レア度：★★★☆☆
人気：★★★☆☆
撮り易さ：★★★☆☆",burritogrunt2.jpg,burritogrunt3.jpg
ホワイトマーゲイト,White Margate,whitemargate2.jpg,イサキ科,"全長：60cm
生息：サンゴ礁域の砂地に生息する。
分布：カリブ海、西部大西洋
レア度：★★★☆☆
人気：★★☆☆☆
撮り易さ：★★★☆☆",whitemargate1.jpg,欠損
グレイバーグラント,Greybar grunt,greybargrunt1.jpg,イサキ科,"全長：30cm
生息：岩礁付近の砂底域に生息。
分布：東部太平洋
レア度：★★★☆☆
人気：★★☆☆☆
撮り易さ：★★★☆☆",greybargrunt2.jpg,greybargrunt3.jpg
クロコショウダイ,Blubberlip,kurokosyoudai1.jpg,イサキ科,"全長：45cm
生息：サンゴ礁の外縁域に生息する。
分布：琉球列島、インド洋から西太平洋に分布する。
レア度：★★★☆☆
人気：★★☆☆☆
撮り易さ：★★★☆☆",kurokosyoudai2.jpg,kurokosyoudai3.jpg
アジアコショウダイ,Dotted sweetlips,ajiakosyoudai1.jpg,イサキ科,"全長：55cm
生息：浅い岩礁域、サンゴ礁域に生息する。
分布：伊豆半島以南、インド洋から西太平洋に分布する。
レア度：★★☆☆☆
人気：★★★☆☆
撮り易さ：★★★☆☆",ajiakosyoudai7.jpg,ajiakosyoudai6.jpg
カリフォルニアサーゴ,California sargo,californiasargo1.jpg,イサキ科,"全長：40cm
生息：沿岸の岩礁域
分布：東部太平洋、カリフォルニア州からカリフォルニア半島
レア度：★★★☆☆
人気：★★★☆☆
撮り易さ：★★★☆☆",californiasargo2.jpg,欠損
パナミックポークフィッシュ,Panamic Porkfish,panamicporkfish1.jpg,イサキ科,"全長：30cm
生息：沿岸の岩礁域やサンゴ礁域に生息する。
分布：東部太平洋
レア度：★★★☆☆
人気：★★★☆☆
撮り易さ：★★★☆☆",欠損,欠損
コットンウィックグラント,Cottonwick Grunt,cottonwickgrunt1.jpg,イサキ科,"全長：30cm
生息：サンゴ礁域に群れを形成する。
分布：カリブ海、西部大西洋
レア度：★★★☆☆
人気：★★★☆☆
撮り易さ：★★★☆☆",cottonwickgrunt3.jpg,cottonwickgrunt2.jpg
ムスジコショウダイ,Oriental sweetlips,musujikosyoudai1.jpg,イサキ科,"全長：45cm
生息：サンゴ礁の岩礁域の斜面に見られる。
分布：伊豆半島以南、インド洋から西太平洋に分布する。
レア度：★★★☆☆
人気：★★★☆☆
撮り易さ：★★★☆☆",musujikosyoudai2.jpg,欠損
ブルーストライプドグラント,Bluestriped Grunt,bluestripedgrunt1.jpg,イサキ科,"全長：45cm
生息：サンゴ礁の外縁域に生息する。
分布：カリブ海、西部大西洋
レア度：★★★☆☆
人気：★★☆☆☆
撮り易さ：★★★★☆
",bluestripedgrunt3.jpg,bluestripedgrunt2.jpg
ヒレグロコショウダイ,Striped sweetlips,hiregurokosyoudai2.jpg,イサキ科,"全長：40cm
生息：岩礁域に生息する。
分布：伊豆半島以南、インド洋から西太平洋に分布する。
レア度：★☆☆☆☆
人気：★★★☆☆
撮り易さ：★★★☆☆",hiregurokosyoudai1.jpg,欠損
チョウチョウコショウダイ,Many-spotted sweetlips,chouchoukosyoudai6.jpg,イサキ科,"全長：40cm
生息：サンゴ礁の岩礁域生息する。
分布：琉球列島、インド洋から西太平洋に分布する。
レア度：★★☆☆☆
人気：★★★★☆

撮り易さ：★★★☆☆
幼魚は頭を下にして、くねくね泳ぐ。",chouchoukosyoudai7.jpg,chouchoukosyoudai2.jpg
イシダイ,Bared knifejaw,ishidai2.jpg,イシダイ科,"全長：80cm
生息：沿岸の岩礁域に生息する。
分布：日本各地、台湾に分布する。
レア度：★★☆☆☆
人気：★★★☆☆
撮り易さ：★★★☆☆
成魚は吻部が黒くなり、クチグロとも呼ばれている。
若魚はシマダイと呼ばれることが多い。",ishidai1.jpg,ishidai4.jpg
イシガキダイ,Spotted knifejaw,ishigakidai4.jpg,イシダイ科,"全長：90cm
生息：沿岸の岩礁域に生息する。
分布：千葉県以南、南シナ海に分布する。
レア度：★★☆☆☆
人気：★★★☆☆
撮り易さ：★★★☆☆
成魚は吻部が白くなり、クチジロと呼ばれる。",ishigakidai3.jpg,ishigakidai2.jpg
カエルウオ,Mottled blenny,kaeruuo1.jpg,イソギンポ科,"全長：15cm
生息：浅い岩礁域やタイドプールなどに生息する。
分布：千葉県以南の南日本、インド洋から太平洋に分布する。
レア度：★★☆☆☆
人気：★★★☆☆
撮り易さ：★★★☆☆",欠損,欠損
ニジギンポ,Striped poison-fang blenny mimic,nijiginpo2.jpg,イソギンポ科,"全長：11cm
生息：内湾の岩礁帯や藻場に生息する。
分布：下北半島以南、西部太平洋の熱帯、温帯域に分布
レア度：★☆☆☆☆
人気：★★☆☆☆
撮り易さ：★★★☆☆
活発に泳ぐ遊泳性",nijiginpo4.jpg,nijiginpo3.jpg
ホシギンポ,Stellar rockskipper,hoshiginpo1.jpg,イソギンポ科,"全長：12cm
生息：浅い岩礁帯に生息する。
分布：三浦半島以南の南日本、マリアナ諸島
レア度：★★★☆☆
人気：★★☆☆☆
撮り易さ：★★☆☆☆
岩に付着した藻類を食べる。",欠損,欠損
イナセギンポ,Bicolour fangblenny,inaseginpo2.jpg,イソギンポ科,"全長：7cm
生息：浅いサンゴ礁や岩礁帯に生息する。
分布：相模湾以南、西部太平洋
レア度：★★★☆☆
人気：★★★☆☆
撮り易さ：★★☆☆☆
活発に泳ぐ遊泳性。たらこ唇（のような顔）が特徴。",inaseginpo1.jpg,欠損
ニラミギンポ,Black comb-tooth,niramiginpo4.jpg,イソギンポ科,"全長：9cm
生息：浅いサンゴ礁帯に生息する。
分布：伊豆大島、高知県、長崎県など西部太平洋
レア度：★★★☆☆
人気：★★☆☆☆
撮り易さ：★★★☆☆",niramiginpo6.jpg,niramiginpo7.jpg
ミナミギンポ,Bluestriped fangblenny,minamiginpo4.jpg,イソギンポ科,"全長：12cm
生息：浅いサンゴ礁や岩礁帯に生息する。
分布：東京湾以南、西部太平洋
レア度：★★☆☆☆
人気：★★☆☆☆
撮り易さ：★★☆☆☆
活発に泳ぐ遊泳性",minamiginpo1.jpg,minamiginpo3.jpg
タマカエルウオ,Leaping blenny,tamakaeruuo1.jpg,イソギンポ科,"全長：12cm
生息：岩礁の潮間帯、波がかかる水面より上に生息する。
分布：八丈島以南、琉球列島、インドから太平洋
レア度：★★★★☆

人気：★★★☆☆
撮り易さ：★★☆☆☆
水上で見られる魚",tamakaeruuo2.jpg,欠損
セーラムブレニー,Seram blenny,seramblenny1.jpg,イソギンポ科,"全長：15cm
生息：5m以浅の内湾、サンゴ礁域
分布：パラオ、西部太平洋
レア度：★★★★☆

人気：★★☆☆☆
撮り易さ：★★☆☆☆",欠損,欠損
インドカエルウオ,Brown coral blenny,indokaeruuo1.jpg,イソギンポ科,"全長：12cm
生息：浅いサンゴ礁帯に生息する。
分布：琉球列島以南、西部太平洋
レア度：★★☆☆☆
人気：★★☆☆☆
撮り易さ：★★☆☆☆
サンゴ枝間を動き回る。",欠損,欠損
ゴイシギンポ,Ocular blenny,goishiginpo1.jpg,イソギンポ科,"全長：6cm
生息：浅いサンゴ礁帯に生息する。
分布：琉球列島、台湾、フィリピンに分布する。
レア度：★★★☆☆
人気：★★★☆☆
撮り易さ：★★★☆☆",欠損,欠損
セダカギンポ,Leopard blenny,sedakaginpo1.jpg,イソギンポ科,"全長：11cm
生息：浅いサンゴ礁や岩礁帯に生息する。
分布：紀伊半島以南、インドから西部太平洋
レア度：★★★☆☆
人気：★★★☆☆
撮り易さ：★★☆☆☆",sedakaginpo2.jpg,欠損
ハナダイギンポ,Persian blenny,hanadaiginpo1.jpg,イソギンポ科,"全長：10cm
生息：浅いサンゴ礁帯に生息する。
分布：琉球列島以南、西部太平洋
レア度：★★★★☆

人気：★★★★☆

撮り易さ：★★★☆☆",hanadaiginpo2.jpg,欠損
エリグロギンポ,Triplespot blenny,eriguroginpo2.jpg,イソギンポ科,"全長：8cm
生息：浅いサンゴ礁や岩礁帯に生息する。
分布：琉球列島以南、西部太平洋
レア度：★★★☆☆
人気：★★★☆☆
撮り易さ：★★☆☆☆",eriguroginpo1.jpg,欠損
マツバギンポ,Spotted and barred blenny,matsubaginpo2.jpg,イソギンポ科,"全長：5cm
生息：サンゴ礁や岩礁帯に生息する。
分布：伊豆半島以南、西部太平洋
レア度：★★☆☆☆
人気：★★☆☆☆
撮り易さ：★★★☆☆",matsubaginpo3.jpg,matsubaginpo1.jpg
ヤエヤマギンポ,Jewelled blenny,yaeyamaginpo1.jpg,イソギンポ科,"全長：12cm
生息：浅いサンゴ礁や岩礁帯に生息する。
分布：琉球列島以南、インドから西部太平洋
レア度：★★☆☆☆
人気：★★☆☆☆
撮り易さ：★★★☆☆",欠損,欠損
イソギンポ科の1種-1,-,isoginpoka1-1.jpg,イソギンポ科,"全長：6cm
生息：内湾の岩穴やパイプ内を住処とする
分布：西表島にて見られた
レア度：★★★★★
人気：★★☆☆☆
撮り易さ：★★☆☆☆
不明種",欠損,欠損
ハタタテギンポ,Floral blenny,hatatateginpo2.jpg,イソギンポ科,"全長：7cm
生息：内湾の浅場や藻場に生息する。
分布：琉球列島以南、インドから西部太平洋
レア度：★★☆☆☆
人気：★★☆☆☆
撮り易さ：★★★☆☆",hatatateginpo1.jpg,欠損
コミカルブレニー,Comical blenny,comicalblenny4.jpg,イソギンポ科,"全長：4cm
生息：浅いサンゴ礁帯に生息する。
分布：ミクロネシアのみに分布する。
レア度：★★★★★
人気：★★★☆☆
撮り易さ：★★★☆☆",comicalblenny1.jpg,comicalblenny5.jpg
ヒゲニジギンポ,Striped poison-fang blenny,higenijiginpo1.jpg,イソギンポ科,"全長：8cm
生息：浅いサンゴ礁や岩礁帯に生息する。
分布：琉球列島以南、西部太平洋
レア度：★★★☆☆
人気：★★★☆☆
撮り易さ：★★★☆☆
活発に泳ぐ遊泳性",higenijiginpo2.jpg,欠損
ヒトスジギンポ,Linear blenny,hitosujiginpo1.jpg,イソギンポ科,"全長：8cm
生息：サンゴ礁や岩礁帯に生息する。
分布：三宅島、琉球列島以南、西部太平洋に分布する。
レア度：★★☆☆☆
人気：★★☆☆☆
撮り易さ：★★★☆☆",hitosujiginpo7.jpg,hitosujiginpo3.jpg
カモハラギンポ,Sawtail blenny,kamoharaginpo2.jpg,イソギンポ科,"全長：10cm
生息：浅いサンゴ礁や岩礁帯に生息する。
分布：和歌山県以南、西部太平洋
レア度：★★☆☆☆
人気：★★★☆☆
撮り易さ：★★★☆☆
活発に泳ぐ遊泳性",kamoharaginpo1.jpg,kamoharaginpo3.jpg
オウゴンニジギンポ,Forktail blenny,oogonnijiginpo5.jpg,イソギンポ科,"全長：7cm
生息：浅いサンゴ礁や岩礁帯に生息する。
分布：伊豆半島、琉球列島以南、西部太平洋
レア度：★★☆☆☆
人気：★★★☆☆
撮り易さ：★★★☆☆
活発に泳ぐ遊泳性",oogonnijiginpo6.jpg,oogonnijiginpo1.jpg
フタイロカエルウオ,Bicolor blenny,futairokaeruuo1.jpg,イソギンポ科,"全長：7cm
生息：潮通しの良いサンゴ礁に生息する。
分布：琉球列島以南、インドから西部太平洋
レア度：★★☆☆☆
人気：★★★☆☆
撮り易さ：★★★☆☆",futairokaeruuo3.jpg,futairokaeruuo2.jpg
ツインスポットブレニ―,Twinspot blenny,twinspotblenny1.jpg,イソギンポ科,"全長：4cm
生息：浅いサンゴ礁帯に生息する。
分布：ボルネオからインドネシア、フィリピンに分布する。
レア度：★★★★☆

人気：★★★☆☆
撮り易さ：★★★☆☆",欠損,欠損
セグメンテッドブレニー,Segmented blenny,segmentedblenny2.jpg,イソギンポ科,"全長：8cm
生息：8m以浅のサンゴ礁域
分布：パラオ、西部太平洋
レア度：★★★☆☆
人気：★★★☆☆
撮り易さ：★★☆☆☆",segmentedblenny1.jpg,欠損
イシガキカエルウオ,Yaeyama blenny,ishigakikaeruuo4.jpg,イソギンポ科,"全長：5cm
生息：浅いサンゴ礁帯に生息する。
分布：琉球列島以南、東部インド洋から西部太平洋
レア度：★★☆☆☆
人気：★★☆☆☆
撮り易さ：★★★☆☆",ishigakikaeruuo5.jpg,ishigakikaeruuo3.jpg
タテガミカエルウオ,Chestnut eyelash-blenny,tategamikaeruuo1.jpg,イソギンポ科,"全長：12cm
生息：浅いサンゴ礁帯に生息する。
分布：琉球列島以南、紅海からオーストラリアに分布する。
レア度：★★★☆☆
人気：★★★☆☆
撮り易さ：★★★☆☆",tategamikaeruuo5.jpg,tategamikaeruuo2.jpg
モンツキカエルウオ,Red-spotted blenny,montsukikaeruuo1.jpg,イソギンポ科,"全長：10cm
生息：浅いサンゴ礁帯に生息する。
分布：琉球列島以南、西部太平洋
レア度：★★★☆☆
人気：★★★★☆

撮り易さ：★★★☆☆
穴から顔を出す姿がよく見られる。",montsukikaeruuo2.jpg,montsukikaeruuo3.jpg
アミメミノカエルウオ,Imitator blenny,amimeminokaeruuo1.jpg,イソギンポ科,"全長：8cm
生息：潮通しの良い岩礁帯に生息する。
分布：伊豆半島以南、西部太平洋
レア度：★★★☆☆
人気：★★★☆☆
撮り易さ：★★★☆☆",amimeminokaeruuo2.jpg,amimeminokaeruuo3.jpg
テンクロスジギンポ,Piano fangblenny,tenkurosujiginpo3.jpg,イソギンポ科,"全長：10cm
生息：浅いサンゴ礁や岩礁帯に生息する。
分布：相模湾以南、インドから西部太平洋
レア度：★☆☆☆☆
人気：★★☆☆☆
撮り易さ：★★★☆☆
活発に泳ぐ遊泳性",tenkurosujiginpo5.jpg,tenkurosujiginpo7.jpg
サーベルトゥースブレニー,Sabertooth blenny,sabertoothblenny1.jpg,イソギンポ科,"全長：10cm
生息：小さい穴や隙間の多い岩礁帯に生息する。穴から出て遊泳する事も多い。
分布：東部太平洋の熱帯、亜熱帯域。
レア度：★★★☆☆
人気：★★★☆☆
撮り易さ：★★☆☆☆",sabertoothblenny2.jpg,欠損
フィリピンブレニー,Philippines blenny,philippinesblenny1.jpg,イソギンポ科,"全長：5cm
生息：サンゴ礁に生息する。
分布：フィリピンのみに分布する。
レア度：★★★★★
人気：★★★☆☆
撮り易さ：★★★☆☆",欠損,欠損
ニセクロスジギンポ,False cleanerfish,nisekurosujiginpo1.jpg,イソギンポ科,"全長：12cm
生息：浅いサンゴ礁や岩礁帯に生息する。
分布：相模湾以南、西部太平洋
レア度：★★☆☆☆
人気：★★☆☆☆
撮り易さ：★★☆☆☆
活発に泳ぐ遊泳性",欠損,欠損
ホワイトスポッテッドブレニー,Whitespotted blenny,whitespottedblenny1.jpg,イソギンポ科,"全長：7cm
生息：8m以浅のサンゴ礁域
分布：西部太平洋
レア度：★★★★☆

人気：★★☆☆☆
撮り易さ：★★☆☆☆",欠損,欠損
パナミックファングドブレニー,Panamic fanged blenny,panamicfangedblenny2.jpg,イソギンポ科,"全長：20cm
生息：穴や隙間の多い岩礁帯、ガレ場に生息する。
分布：東部太平洋の熱帯、亜熱帯域。
レア度：★★★☆☆
人気：★★☆☆☆
撮り易さ：★★★☆☆",panamicfangedblenny3.jpg,panamicfangedblenny4.jpg
オボロゲタテガミカエルウオ,Filamentous blenny,oborogetategamikaeruuo3.jpg,イソギンポ科,"全長：9cm
生息：浅いサンゴ礁や岩礁帯に生息する。
分布：琉球列島以南、インドから西部太平洋
レア度：★★★★☆

人気：★★★☆☆
撮り易さ：★★★☆☆",oborogetategamikaeruuo1.jpg,oborogetategamikaeruuo2.jpg
ベニツケタテガミカエルウオ,Red spedkled blenny,benitsuketategamikaeruuo1.jpg,イソギンポ科,"全長：3cm
生息：潮通しの良い岩礁帯に生息する。
分布：琉球列島以南、西部太平洋
レア度：★★★★☆

人気：★★★☆☆
撮り易さ：★★★☆☆",benitsuketategamikaeruuo2.jpg,benitsuketategamikaeruuo3.jpg
ブラックストライプドコームツースブレニー,Blackstriped combtooth blenny,blackstripedcombtoothblenny2.jpg,イソギンポ科,"全長：5cm
生息：サンゴ礁に生息する。
分布：ニューカレドニア
レア度：★★★★★
人気：★★★☆☆
撮り易さ：★★★☆☆",blackstripedcombtoothblenny1.jpg,欠損
イスズミ,Lowfin drummer,isuzumi4.jpg,イスズミ科,"全長：70cm
生息：沿岸の岩礁域に生息する。
分布：伊豆半島以南、紅海、東アフリカから西太平洋、西大西洋
レア度：★★☆☆☆
人気：★★☆☆☆
撮り易さ：★★★☆☆",isuzumi3.jpg,isuzumi1.jpg
バミューダチャブ,Bermuda chub,bermudachub1.jpg,イスズミ科,"全長：75cm
生息：沿岸の岩礁域に生息する。
分布：カリブ海、西大西洋
レア度：★★★☆☆
人気：★★☆☆☆
撮り易さ：★★★☆☆",欠損,欠損
ノトイスズミ,Gray drummer,notoisuzumi2.jpg,イスズミ科,"全長：70cm
生息：沿岸の岩礁域に生息する。
分布：伊豆半島以南、紅海、東アフリカから太平洋。
レア度：★★☆☆☆
人気：★★☆☆☆
撮り易さ：★★★☆☆",notoisuzumi1.jpg,notoisuzumi3.jpg
テンジクイサキ,Topsail drummer,tenjikuisaki1.jpg,イスズミ科,"全長：45cm
生息：沿岸の岩礁域に生息する。
分布：伊豆半島以南、紅海、東アフリカから西太平洋。
レア度：★★☆☆☆
人気：★★☆☆☆
撮り易さ：★★★☆☆",tenjikuisaki4.jpg,tenjikuisaki3.jpg
シルバードラマー,Silver drummer,silverdrummer2.jpg,イスズミ科,"全長：75cm
生息：沿岸の岩礁域に生息する。
分布：オーストラリアからニュージーランド、西太平洋
レア度：★★★☆☆
人気：★★☆☆☆
撮り易さ：★★★☆☆",silverdrummer1.jpg,欠損
ミナミイスズミ,Pacific drummer,minamiisuzumi3.jpg,イスズミ科,"全長：65cm
生息：沿岸の岩礁域に生息する。
分布：伊豆諸島以南、インド洋から西太平洋。
レア度：★★★☆☆
人気：★★★☆☆
撮り易さ：★★★☆☆",minamiisuzumi2.jpg,minamiisuzumi1.jpg
ブルーブロンズチャブ,Blue-bronze chub,bluebronzechub1.jpg,イスズミ科,"全長：45cm
生息：リーフ周辺の外洋、ひょすそ雨域を遊泳する。
分布：東部太平洋。
レア度：★★★★☆

人気：★★☆☆☆
撮り易さ：★★★☆☆",bluebronzechub2.jpg,欠損
キツネウオ,Small-toothed whiptail,kitsuneuo2.jpg,イトヨリダイ科,"全長：30cm
生息：サンゴ礁域に生息する。
分布：琉球列島以南、西部太平洋に分布する。
レア度：★★☆☆☆
人気：★★☆☆☆
撮り易さ：★★☆☆☆",kitsuneuo1.jpg,欠損
キツネウオ属の１種,-,kitsuneuo1-1.jpg,イトヨリダイ科,"全長：8cm
生息：サンゴ礁域に生息する。
分布：八重山諸島、西部太平洋に分布する。
レア度：★★★★☆

人気：★★☆☆☆
撮り易さ：★★☆☆☆
山と渓谷社「日本の海水魚」に記載のキツネウオ属の１種－２と思われる。
キツネウオの幼魚？　それとも別種？",kitsuneuo1-2.jpg,欠損
イトタマガシラ,Japanese whiptail,itotamagashira1.jpg,イトヨリダイ科,"全長：20cm
生息：岩礁、サンゴ礁域に生息する。
分布：房総半島以南、西部太平洋に分布する。
レア度：★★★☆☆
人気：★★☆☆☆
撮り易さ：★★☆☆☆",欠損,欠損
ヒメタマガシラ,Pale monocle bream,himetamagashira1.jpg,イトヨリダイ科,"全長：25cm
生息：砂底域に生息する。
分布：伊豆半島以南、南シナ海からオーストラリアまでの西太平洋
レア度：★★★☆☆
人気：★★☆☆☆
撮り易さ：★★★☆☆",himetamagashira2.jpg,欠損
カメンタマガシラ,Pearl-streaked monocle bream,kamentamagashira1.jpg,イトヨリダイ科,"全長：20cm
生息：岩礁、サンゴ礁域に生息する。
分布：琉球列島以南、インド洋から西部太平洋に分布する。
レア度：★★★☆☆
人気：★★★☆☆
撮り易さ：★★☆☆☆",欠損,欠損
タイワンタマガシラ,Whitecheek monocle bream,taiwantamagashira2.jpg,イトヨリダイ科,"全長：25cm
生息：サンゴ礁、砂底域に生息する。
分布：東アフリカからインドネシア
レア度：★★★☆☆
人気：★★★☆☆
撮り易さ：★★★☆☆",taiwantamagashira1.jpg,欠損
シンジュタマガシラ,Pearly monocle bream,shinjutamagashira2.jpg,イトヨリダイ科,"全長：25cm
生息：砂底域に生息する。
分布：八重山諸島、南シナ海から西部太平洋に分布する。
レア度：★★★☆☆
人気：★★☆☆☆
撮り易さ：★★☆☆☆",shinjutamagashira4.jpg,shinjutamagashira3.jpg
ハクセンタマガシラ,Whitestreak monocle bream,hakusentamagashira3.jpg,イトヨリダイ科,"全長：15cm
生息：サンゴ礁、砂底域に生息する。
分布：琉球列島以南、インド洋から西部太平洋に分布する。
レア度：★★☆☆☆
人気：★★☆☆☆
撮り易さ：★★☆☆☆",hakusentamagashira1.jpg,hakusentamagashira2.jpg
ヒトスジタマガシラ,Monogrammed monocle bream,hitosujitamagashira3.jpg,イトヨリダイ科,"全長：40cm
生息：砂泥底に生息する。
分布：琉球列島以南、インド洋から西部太平洋に分布する。
レア度：★★★☆☆
人気：★★☆☆☆
撮り易さ：★★☆☆☆",hitosujitamagashira2.jpg,hitosujitamagashira1.jpg
フタスジタマガシラ,Bridled monocle bream,futasujitamagashira2.jpg,イトヨリダイ科,"全長：25cm
生息：サンゴ礁域に生息する。
分布：伊豆大島以南、インド洋から西部太平洋に分布する。
レア度：★☆☆☆☆
人気：★★★☆☆
撮り易さ：★★☆☆☆",futasujitamagashira5.jpg,futasujitamagashira4.jpg
スリーストライプドウィップテイル,Three-striped whiptail,threestripedwhiptail2.jpg,イトヨリダイ科,"全長：30cm
生息：沿岸のサンゴ礁域、内湾
分布：マレーシア、フィリピンからソロモン諸島
レア度：★★★☆☆
人気：★★☆☆☆
撮り易さ：★★★☆☆",threestripedwhiptail1.jpg,欠損
ヨコシマタマガシラ,Striped monocle bream,yokoshimatamagashira3.jpg,イトヨリダイ科,"全長：20cm
生息：サンゴ礁域の砂底に生息する。
分布：琉球列島、南シナ海からオーストラリアまでの西太平洋
レア度：★★★★☆

人気：★★☆☆☆
撮り易さ：★★★☆☆",yokoshimatamagashira2.jpg,yokoshimatamagashira1.jpg
エビスダイ,Brocade perch,ebisudai1.jpg,イットウダイ科,"全長：40cm
生息：サンゴ礁や岩礁帯の洞穴などの暗い場所に生息する
分布：千葉県以南の南日本
レア度：★★★☆☆
人気：★★☆☆☆
撮り易さ：★★☆☆☆",欠損,欠損
ニジエビス,Crown squirrelfish,nijiebisu3.jpg,イットウダイ科,"全長：20cm
生息：サンゴ礁や岩礁帯に生息する
分布：奄美諸島以南
レア度：★★☆☆☆
人気：★★☆☆☆
撮り易さ：★★★☆☆",nijiebisu1.jpg,nijiebisu2.jpg
アヤメエビス,Redcoat squirrelfish,ayameebisu2.jpg,イットウダイ科,"全長：25cm
生息：サンゴ礁や岩礁帯に生息する
分布：琉球列島以南
レア度：★★★☆☆
人気：★★☆☆☆
撮り易さ：★★★☆☆",ayameebisu1.jpg,ayameebisu3.jpg
トガリエビス,Sabre squirrelfish,togariebisu4.jpg,イットウダイ科,"全長：40cm
生息：サンゴ礁や岩礁帯に生息する
分布：紀伊半島以南に分布
レア度：★★☆☆☆
人気：★★☆☆☆
撮り易さ：★★★☆☆",togariebisu5.jpg,togariebisu1.jpg
